3Ltr,Company,Country,Telephony
ABD,AIR ATLANTA ICELANDIC,ICELAND,ATLANTA
ABE,ABAN AIR,IRAN (ISLAMIC REPUBLIC OF),ABAN
ABF,"SCANWINGS OY, FINLAND",FINLAND,SKYWINGS
ABG,"ROYAL FLIGHT AIRLINES, CJSC",RUSSIAN FEDERATION,ROYAL FLIGHT
ABH,"HOKURIKU-KOUKUU CO., LTD",JAPAN,
ABI,"ALBA-AIR AVIACION, S.L.",SPAIN,AIRALBACETE
ABJ,ATA - AEROTAXI ABAETE LTDA,BRAZIL,ABAETE
ABK,AIRBUS CANADA,CANADA,AIRBUS CANUCK
ABL,AIR BUSAN,REPUBLIC OF KOREA,AIR BUSAN
ABM,AERO ALBATROS,SPAIN,ALBATROS ESPANA
ABN,AIR ALBANIA,ALBANIA,AIR ALBANIA
ABO,AEROEXPRESO BOGOTA,COLOMBIA,AEROEXPRESO
ABP,ABS JETS,CZECHIA,BAIR
ABQ,"AIRBLUE LIMITED, M/S.",PAKISTAN,PAKBLUE
ABR,ASL AIRLINES (IRELAND) LIMITED,IRELAND,CONTRACT
ABS,AFRIJET BUSINESS SERVICES (ABS),GABON,
ABT,BENIN AIRLINES,BENIN,BENWAYS
ABU,"EAGLE AVIATION SERVICES, INC. (FT. WORTH, TX)",UNITED STATES,
ABV,ASL AIRLINES UK,UNITED KINGDOM,CARGOBLUE
ABW,AIRBRIDGE CARGO AIRLINES LTD,RUSSIAN FEDERATION,AIRBRIDGE CARGO
ABX,"ABX AIR, INC. (WILMINGTON, OH)",UNITED STATES,ABEX
ABY,AIR ARABIA,UNITED ARAB EMIRATES,ARABIA
ABZ,AIR AMBULANCE SERVICES LIMITED,BAHAMAS,ISLAND LIFEFLIGHT
ACA,AIR CANADA,CANADA,AIR CANADA
ACB,AIR CONTINENTAL AFRICA,GABON,AIRCONTI
ACC,AIRSPEED CHARTER LTD.,JAMAICA,
ACD,"ACADEMY AIRLINES (GRIFFIN, GA)",UNITED STATES,ACADEMY
ACE,AVIATION ACES,UNITED STATES,SKY ACE
ACF,CENTRO DE FORMACION AERONAUTICA DE CANARIAS,SPAIN,FORCAN
ACG,AOSAC - AIRLINE OPERATIONS SUPPORT AND AVIATION CONSULTANT,CANADA,
ACH,AFRICA S CONNECTION STP,SAO TOME AND PRINCIPE,
ACI,AIR CALEDONIE INTERNATIONAL,FRANCE,AIRCALIN
ACJ,"AC AVIATION CO., LTD",THAILAND,SINOJET
ACK,"NANTUCKET AIRLINES (NANTUCKET, MA)",UNITED STATES,ACK AIR
ACL,"AERCARIBE, S.A.",COLOMBIA,ADMIRE
ACM,AVIAC S.A. DE C.V. (AEREO VIAS CENTROAMERICANAS SOCIEDAD ANONIMA DE CAPITAL VARIABLE),HONDURAS,
ACN,AZUL CONECTA LTDA,BRAZIL,AZUL CONECTA
ACO,"AIR CHOICE ONE (ST. LOUIS, MO)",UNITED STATES,WEBER
ACP,ASTRAL AVIATION LIMITED,KENYA,ASTRAL CARGO
ACQ,ARYAN CARGO EXPRESS,INDIA,ACE CARGO
ACR,"AEROCENTER, ESCUELA DE FORMACION DE PILOTOS PRIVADOS DE AVION",SPAIN,AEROCENTER
ACS,AIRCRAFT SALES AND SERVICES (PVT) LTD,PAKISTAN,AIRCRAFT SALES
ACT,"FLIGHT LINE, INC. (DENVER, CO)",UNITED STATES,AMERICAN CHECK
ACU,AIR CARGO TRANSPORTATION SYSTEM LIMITED,KENYA,AFRISPIRIT
ACV,"AIR CARNIVAL PVT. LIMITED (COIMBATORE, INDIA)",INDIA,CARNAIR
ACW,"SERVICIOS AEREOS ACROSS, S.A. DE C.V.",MEXICO,ACRO JETS
ACY,ARMENIAN NATIONAL AIRLINES CJSC,ARMENIA,ARNA
ADA,"AIRSERVICES AUSTRALIA, FLIGHT INSPECTION UNIT",AUSTRALIA,AUSCAL
ADB,ANTONOV COMPANY,UKRAINE,ANTONOV BUREAU
ADC,AD ASTRA EXECUTIVE CHARTER SP.Z.O.O.,POLAND,AD ASTRA
ADD,"ADVANCED AIR CO., LTD",JAPAN,
ADF,"ADEFA, S.A.",SPAIN,
ADG,"AEREA FLYING TRAINING ORGANIZATION, S.A.",SPAIN,AEREA TRAINING
ADI,AUDELI AIR EXPRESS,SPAIN,AUDELI
ADK,AVIATION DEVELOPMENT COMPANY NIGERIA LIMITED,NIGERIA,ADCO
ADL,AERO DYNAMICS,UNITED KINGDOM,COTSWOLD
ADM,AIR DREAM COLLEGE,PORTUGAL,DREAM COLLEGE
ADN,"AERODIENST GMBH & CO. KG, NUERNBERG",GERMANY,AERODIENST
ADO,"AIRDO CO., LTD",JAPAN,AIR DO
ADP,"AERODIPLOMATIC, S.A. DE C.V.",MEXICO,AERODIPLOMATIC
ADR,ADRIA AIRWAYS,SLOVENIA,ADRIA
ADT,"ARRENDAMIENTOS Y TRANSPORTES TURISTICOS, S.A. DE C.V.",MEXICO,ARRENDA-TRANS
ADV,ADVANCED FLIGHT TRAINING LTD,UNITED KINGDOM,ADVANCED
ADY,AIR ARABIA ABU DHABI,UNITED ARAB EMIRATES,NAWRAS
ADZ,COMPASS CARGO AIRLINES,BULGARIA,MIGRATOR
AEA,AIR EUROPA,SPAIN,EUROPA
AEC,"AEROSERVICIOS DE ALMERIA 2000, S.L.",SPAIN,
AED,EADS CASA,SPAIN,
AEE,AEGEAN AIRLINES,GREECE,AEGEAN
AEF,AEREA,SPAIN,
AEG,AIREST,ESTONIA,AIREST CARGO
AEH,"AERO4M, D.O.O.",SLOVENIA,VEGA
AEI,AIR POLAND SP. Z.O.O.,POLAND,POLISH BIRD
AEJ,AEROJET EXECUTIVE,VENEZUELA,AEROJET
AEK,AEROCON LTDA.,BOLIVIA,AEROCON
AEL,AEGLE AVIATION (ARUBA) N.V.,NETHERLANDS,RHOMBUS
AEM,AERO MADRID,SPAIN,AEROMADRID
AEN,AIREON CANADA LTD.,CANADA,
AEO,AERO GUERNSEY LTD,GUERNSEY,AERO
AEP,AEROTEC,SPAIN,AEROTEC
AER,"ALASKA CENTRAL EXPRESS, INC. (FAIRBANKS, AK)",UNITED STATES,ACE AIR
AES,AEROSPACE ENGINEERING SERVICES,MALTA,GEMINA
AET,AERONAUTICAL RADIO OF THAILAND LTD,THAILAND,AEROTHAI
AEV,"AEROVENTAS, S.A.",MEXICO,AEROVENTAS
AEX,AEROHELIX S. DE R.L. DE C.V.,MEXICO,AEROX
AEZ,AEROITALIA SRL,ITALY,AEROITALIA
AFA,ALFA AIR,CZECHIA,BLUE ALFA
AFB,BULGARIAN AIR FORCE,BULGARIA,BULAF
AFC,AERORUTAS DEL SUR C.A.,VENEZUELA,AERORUTAS
AFD,AIRFUTURES LIMITED,GHANA,
AFE,"AIRFAST INDONESIA, PT.",INDONESIA,AIRFAST
AFF,AF-AVIATION LTD,UNITED KINGDOM,AIRFERRY
AFG,ARIANA AFGHAN AIRLINES,AFGHANISTAN,ARIANA
AFH,AIR AFGHANISTAN INTERNATIONAL,AFGHANISTAN,AIR AFGHANISTAN
AFI,AFRICAONE,UGANDA,AFRICAWORLD
AFJ,ALLIANCE,UGANDA,JAMBO
AFL,AEROFLOT - RUSSIAN AIRLINES,RUSSIAN FEDERATION,AEROFLOT
AFM,AEROSPEED FORMATION ET MAINTENANCE,FRANCE,EPIC AIR
AFN,ATLANTSFLUG LTD.,ICELAND,HEKLA
AFP,PORTUGUESE AIR FORCE,PORTUGAL,PORTUGUESE AIR FORCE
AFQ,ALBA SERVIZI AEROTRASPORTI SPA,ITALY,ALBA
AFR,AIR FRANCE,FRANCE,AIRFRANS
AFS,AIR DATA LTD,UNITED KINGDOM,
AFV,AVFINITY,UNITED STATES,
AFW,AFRICA WORLD AIRLINES LIMITED,GHANA,BLACKSTAR
AFX,AIRFREIGHT EXPRESS LIMITED,UNITED KINGDOM,
AFY,AFRICA CHARTERED SERVICES,NIGERIA,AFRICA CHARTERED
AGB,AIR-SERVICE-GABON,GABON,
AGD,"AGRICOLAIR, S.L.",SPAIN,
AGE,AEROMANAGE,LITHUANIA,AEROMANAGE
AGF,AIR GEORGIA,GEORGIA,AIR GEORGIA
AGH,ALTAGNA,FRANCE,ALTAGNA
AGM,"AVIATION WEST CHARTERS (SCOTTSDALE, AZ)",UNITED STATES,ANGEL MED
AGN,COMPAGNIE NATIONALE AIR GABON,GABON,GOLF NOVEMBER
AGO,AAC-ANGOLA AIR CHARTER LIMITED,ANGOLA,ANGOLA CHARTER
AGP,AERFI GROUP PLC,IRELAND,AIR TARA
AGS,"AOT GROUND AVIATION SERVICES CO., LTD.",THAILAND,BLUE PORT
AGT,AMADEUS GLOBAL TRAVEL DISTRIBUTION S.A.,SPAIN,AMADEUS
AGU,ANGARA AIRLINES JSC,RUSSIAN FEDERATION,SARMA
AGV,AIR GLACIERS SA,SWITZERLAND,AIR GLACIERS
AGY,AIR GO EGYPT,EGYPT,EGYPTIAN BIRD
AHA,AIR ALPHA A/S,DENMARK,AIR ALPHA
AHB,AIR ALBORAN S.L.,SPAIN,ALHAMBRA
AHD,CZECH AIR HANDLING,CZECHIA,AIRHANDLING
AHE,AIRPORT HELICOPTER AHB AG,SWITZERLAND,AIRPORT HELICOPTER
AHF,"ASPEN HELICOPTERS, INC. (OXNARD, CA)",UNITED STATES,ASPEN
AHH,AIRPLANES HOLDINGS LTD,IRELAND,AIRHOLD
AHI,"SERVICIOS AEREOS DE CHIHUAHUA AEROCHISA, S.A. DE C.V.",MEXICO,AEROCHISA
AHJ,"AVIONES Y HELICOPTEROS EJECUTIVOS, S.A. DE C.V.",MEXICO,AVYCOP
AHK,AHK AIR HONG KONG LIMITED,CHINA,AIR HONG KONG
AHL,"AEROLINEAS HIDALGO, S.A. DE C.V.",MEXICO,HIDALGO
AHM,"ATLANTIS HELICOPTERS DE MEXICO, S.A. DE C.V.",MEXICO,HELI ATLANTIS
AHN,AVIA GROUP HANDLING LLC,RUSSIAN FEDERATION,
AHO,"AIR HAMBURG, HAMBURG",GERMANY,AIR HAMBURG
AHS,AHS AIR INTERNATIONAL (PVT) LTD,PAKISTAN,HIGH SKY
AHT,"HTA HELICOPTEROS, LDA",PORTUGAL,HELIAPRA
AHU,ABC AIR HUNGARY LTD,HUNGARY,ABC HUNGARY
AHW,SKY CAPITAL AIRLINES LTD.,BANGLADESH,SKY CAPITAL
AHX,"AMAKUSA AIRLINES CO., LTD",JAPAN,AMAKUSA AIR
AHY,"AZERBAIJAN HAVA YOLLARI, NATIONAL AIRLINE",AZERBAIJAN,AZAL
AIA,AMELIA,FRANCE,AMELIA
AIB,AIRBUS INDUSTRIE,FRANCE,AIRBUS INDUSTRIE
AIC,AIR INDIA LIMITED,INDIA,AIRINDIA
AIE,AIR INUIT LTD,CANADA,INUIT
AIF,AIM AVIATION,ISRAEL,
AIG,AIR INTER GABON,GABON,
AIH,AIR INCHEON CO. LTD,REPUBLIC OF KOREA,AIR INCHEON
AIJ,"ABC AEROLINEAS, S.A. DE C.V.",MEXICO,ABC AEROLINEAS
AIK,AFRICAN AIRLINES INTERNATIONAL LIMITED,KENYA,AFRICAN AIRLINES
AIM,TRABAJOS AEREOS MURCIANOS S.L.,SPAIN,PIJO
AIN,AFRICAN INTERNATIONAL AIRWAYS (PTY) LTD,SOUTH AFRICA,FLY CARGO
AIO,"CHIEF OF STAFF, UNITED STATES AIR FORCE (ANDREWS AFB, MD)",UNITED STATES,AIR CHIEF
AIP,"ALPINE AVIATION, INC. (PROVO, UT)",UNITED STATES,ALPINE AIR
AIQ,"THAI AIR ASIA CO., LTD",THAILAND,THAI ASIA
AIR,AIRLIFT INTERNATIONAL INC.,UNITED STATES,AIRLIFT
AIS,AIR SURESTE,SPAIN,SURESTE
AIT,AIR TAURUS LLC,UKRAINE,AIR TAURUS
AIU,AIR SEGURA S.L.,SPAIN,
AIW,AEROHELI INTERNATIONAL GMBH & CO KG,GERMANY,AIRWOLF
AIZ,ARKIA ISRAEL INLAND AIRLINES,ISRAEL,ARKIA
AJA,AFGHAN JET INTERNATIONAL AIRLINES,AFGHANISTAN,AFGHAN JET
AJB,AMERICAN JET S.A.,ARGENTINA,AMJET
AJC,"BAR HARBOR AIRLINES (BANGOR, ME)",UNITED STATES,BAR HARBOR
AJE,"AERO JET EXPRESS, S.A. DE C.V.",MEXICO,JET EXPRES
AJH,AEROALJARAFE S.L.,SPAIN,ALJARAFE
AJI,"AMERISTAR JET CHARTER, INC. (DALLAS, TX)",UNITED STATES,AMERISTAR
AJJ,AVCON JET AFRICA (PTY) LTD.,SOUTH AFRICA,AVJET
AJK,ALLIED AIR LIMITED,NIGERIA,BAMBI
AJM,AIR JAMAICA,JAMAICA,JAMAICA
AJN,"AUTOMOTRIZ BAJA NORTE, S.A. DE C.V.",MEXICO,BAJANTE
AJO,AV8JET CHARTER,MALTA,AVIATE JET
AJP,ANAP BUSINESS JETS LIMITED,NIGERIA,ANAPJETS
AJQ,"AEROTECNICA JET SERVICES, INC.",PANAMA,PANAJET
AJR,A-JET AVIATION CO. LTD,MONGOLIA,JET MONGOLIA
AJS,"AEROEJECUTIVOS, AEROSERVICIOS EJECUTIVOS",COLOMBIA,AEROEJECUTIVOS
AJT,"AMERIJET INTERNATIONAL (FT.LAUDERDALE, FL)",UNITED STATES,AMERIJET
AJU,AIR JETSUL,PORTUGAL,AIRJETSUL
AJV,"ADVANCE AVIATION JET CO., LTD",THAILAND,LEE JET
AJW,"ALPHA JET INTERNATIONAL (SHEFFIELD, AL)",UNITED STATES,ALPHAJET
AJX,"AIR JAPAN CO., LTD",JAPAN,AIR JAPAN
AJY,AJWAA AIRLINES,EGYPT,AJWAA AIRLINES
AJZ,ANGLO AMERICAN SOUTH AFRICA LIMITED,SOUTH AFRICA,ANGLO JET
AKA,AIR KOREA CO. LTD.,REPUBLIC OF KOREA,
AKC,"ASIALINK CARGO EXPRESS, PT.",INDONESIA,ASIALINK CARGO
AKE,AIR LINK EXECUTIVE SERVICES (ALES),PAKISTAN,
AKF,AERO ASAHI CORPORATION,JAPAN,
AKG,84 SQN RAF AKROTIRI,UNITED KINGDOM,GRIFTER
AKH,AKHAL,TURKMENISTAN,AKHAL
AKI,"IBK-PETRA, SUDAN",SUDAN,
AKJ,AKASA AIR,INDIA,AKASA AIR
AKK,SUNDT AIR MANAGEMENT,NORWAY,AKER
AKL,AIR KIRIBATI LIMITED,KIRIBATI,AIR KIRIBATI
AKN,ALKAN AIR LTD.,CANADA,ALKAN AIR
AKP,ASKARI AIR PAKISTAN,PAKISTAN,ASKARI AIR
AKQ,AEROSPACE CONSORTIUM LTD,KENYA,MOONLIGHT
AKS,AIRWORKS KENYA LIMITED,KENYA,AKEL
AKT,BRADLEY AIR SERVICES LIMITED D/B/A CANADIAN NORTH,CANADA,ARCTIC
AKW,ANGKOR AIRWAYS,CAMBODIA,ANGKORWAYS
AKX,"ANA WINGS CO., LTD",JAPAN,ALFA WING
AKY,YAK-SERVICE,RUSSIAN FEDERATION,YAK-SERVICE
ALB,AERO ALBATROS,MEXICO,ALBATROS
ALC,"SOUTHERN JERSEY AIRWAYS, INC. (ATLANTIC CITY, NJ)",UNITED STATES,ACOM
ALD,AIR LEISURE,EGYPT,AIR LEISURE
ALE,ALLIANCE EXECUTIVE JETS LTD.,MALTA,ALLIANCE MALTA
ALF,ALLIED COMMAND EUROPE (MOBILE FORCE),BELGIUM,ACEFORCE
ALG,AVIATION LOGISTIC SERVICES LIMITED COMPANY,RUSSIAN FEDERATION,
ALI,AIRLIFT AS,NORWAY,BLUELIFT
ALJ,ALVARO GARCIA GONZALEZ DE AGUILAR,SPAIN,
ALK,SRILANKAN AIRLINES,SRI LANKA,SRILANKAN
ALL,AIR ARABIA FOR AIR TRANSPORT,LIBYA,ARABIA AVIA
ALM,ALFA AIR,MOROCCO,
ALN,ALKAN AIR,EGYPT,ALKAN AVIATION
ALO,"PENNSYLVANIA COMMUTER AIRLINES, INC. (MIDDLETOWN, PA)",UNITED STATES,ALLEGHENY
ALP,"ALLPOINTS JET CO., LTD",CHINA,ALLPOINTS
ALQ,ALANNA LIMITED TRUST DISTRIBUTION,UKRAINE,ALANNA
ALS,ALAS DEL SUR,VENEZUELA,ALASDELSUR
ALT,"AEROLINEAS CENTRALES, S.A. DE C.V.",MEXICO,AEROLINEAS CENTRALES
ALU,AIR LUXOR STP,SAO TOME AND PRINCIPE,LUXORJET
ALV,AEROPOSTAL ALAS DE VENEZUELA,VENEZUELA,AEROPOSTAL
ALW,AIRCRAFT LEASING SERVICES LIMITED,KENYA,
ALX,ALPI JETS GMBH,AUSTRIA,ALPIJETS
ALY,ALAS URUGUAY (DYRUS S.A.),URUGUAY,ALAS URUGUAY
ALZ,AZURE AVIATION LTD,BAHAMAS,AZURE
AMA,AIRCOMPANY MOALEM AVIATION,KYRGYZSTAN,MOALEM
AMB,"DRF - STIFTUNG LUFTRETTUNG GEMEINNUETZIGE AG, FILDERSTADT",GERMANY,CIVIL AIR AMBULANCE
AMC,AIR MALTA PLC.,MALTA,AIR MALTA
AMD,SA RED CROSS AIR MERCY SERVICE,SOUTH AFRICA,MERCY WING
AME,AERONAVE MILITAR ESPANOLA. MINISTERIO DE DEFENSA,SPAIN,AIRMIL
AMF,"AMERIFLIGHT, INC. (BURBANK, CA)",UNITED STATES,AMFLIGHT
AMG,AIR MINAS LINHAS AEREAS LTDA.,BRAZIL,AIR MINAS
AMI,"AIR AMERICA, INC. (CAROLINA, PR)",UNITED STATES,AIRMEK
AMJ,AMJET EXECUTIVE S.A.,GREECE,AMJET EXEC
AMK,AMAC CORPORATE JET AG,SWITZERLAND,AMAC
AML,AIR MALAWI,MALAWI,MALAWI
AMN,AIR MONTENEGRO,MONTENEGRO,MONTENEGRO
AMO,ANGEL MARTINEZ RIDAO (SAETA),SPAIN,
AMP,AERO TRANSPORTE S.A. (ATSA),PERU,ATSA
AMQ,AMC AVIATION SP. Z O. O.,POLAND,AMEX
AMR,"AIR SPECIALTIES CORPORATION D/B/A/ AIR AMERICA/TOTAL AIR (LOS ANGELES, CA)",UNITED STATES,AIR AM
AMS,AMERICA DO SUL TAXI AEREO LTDA.,BRAZIL,
AMT,AIR MOUNTAIN,SWITZERLAND,AIR MOUNTAIN
AMU,AIR MACAU,CHINA,AIR MACAU
AMV,AIRCRAFT MAINTENANCE COMPANY (AMC AIRLINES),EGYPT,
AMW,ARMENIA AIRWAYS AIR COMPANY,ARMENIA,
AMX,"AEROVIAS DE MEXICO, S.A. DE C.V.",MEXICO,AEROMEXICO
AMY,AIR MANDALAY LIMITED,MYANMAR,AIR MANDALAY
AMZ,AMIYI AIRLINE LIMITED,NIGERIA,AMIYI AIR
ANA,"ALL NIPPON AIRWAYS CO., LTD.",JAPAN,ALL NIPPON
ANB,AIR NAVIGATION AND TRADING CO. LTD.,UNITED KINGDOM,AIR NAV
ANC,AVIAN LINEAS AEREAS S.A. - AVIANCA ARGENTINA,ARGENTINA,AVIAN
AND,SERVICIOS AEREOS DE LOS ANDES S.A.C.,PERU,SERVI ANDES
ANE,"AIR NOSTRUM LINEAS AEREAS DEL MEDITERRANEO, S.A.",SPAIN,NOSTRU AIR
ANG,AIR NIUGINI,PAPUA NEW GUINEA,NIUGINI
ANI,AIR ATLANTIC (NIG) LIMITED,NIGERIA,NIGALANTIC
ANJ,ALLEGIANCE AIR (PTY) LTD,SOUTH AFRICA,AIR ALLEGIANCE
ANK,AERO NOMAD AIRLINES LLC,KYRGYZSTAN,AERO NOMAD
ANL,NACOIA LDA,ANGOLA,AIR NACOIA
ANM,"AEROTRANSPORTACION DE NORTEAMERICA, S.A. DE C.V.",MEXICO,NORAM
ANO,"CAPITEQ LIMITED, TRADING AS AIR NORTH REGIONAL",AUSTRALIA,TOPEND
ANP,AIR NIGERIA DEVELOPMENT LIMITED,NIGERIA,NICON FLIERS
ANQ,AEROLINEA DE ANTIOQUIA S.A. (ADA),COLOMBIA,ANTIOQUIA
ANR,"YANAIR, AVIACOMPANY LTD",UKRAINE,YANAIR
ANS,"ANDES LINEAS AEREAS, S.A.",ARGENTINA,AEROANDES
ANT,AIR NORTH CHARTER,CANADA,AIR NORTH
ANU,ANDALUS,SPAIN,ANDALUS
ANV,NESTOIL LIMITED,NIGERIA,NESTAV
ANW,FLY ME (PTY) LTD,SOUTH AFRICA,ANGEL WINGS
ANX,SECRETARIA DE MARINA,MEXICO,SECRETARIA DEMARINA
ANZ,AIR NEW ZEALAND LTD,NEW ZEALAND,NEW ZEALAND
AOA,AIR OCEAN AIRLINES LLC,UKRAINE,AIR OCEAN
AOB,"AEROCARIBE CORO, C.A.",VENEZUELA,CARIBE CORO
AOC,TITANFLY INTERNATIONAL,SAN MARINO,ARAMIS
AOD,AERO VODOCHODY,CZECHIA,AERO CZECH
AOF,ATAIR PTY LTD,SOUTH AFRICA,ATAIR
AOJ,AVCON JET AG,AUSTRIA,ASTERIX
AOK,AIRCRAFT AVIATION SERVICES,PAKISTAN,
AON,AERO ENTREPRISE,FRANCE,AERO ENTREPRISE
AOR,AFRO INTERNATIONAL ENT. LIMITED,NIGERIA,INTER-AFRO
AOS,AEROS LTD (T/A AEROS FLIGHT TRAINING),UNITED KINGDOM,AEROS
AOU,AIR TRACTOR D.O.O.,CROATIA,AIR TRACTOR
AOV,AERO VISION,FRANCE,AEROVISION
APA,"APOYO LOGISTICO AEREO, S.A. DE C.V.",MEXICO,APOYO LOG
APB,"TRATAMIENTOS AGRICOLAS AEREOS PERAN, S.L.",SPAIN,
APC,"AIRPAC (SEATTLE, WA)",UNITED STATES,AIRPAC
APD,AVIATIONERS PAKISTAN,PAKISTAN,
APE,"PARCEL EXPRESS (DENVER, CO)",UNITED STATES,AIR PARCEL
APF,AMAPOLA FLYG AB,SWEDEN,AMAPOLA
APG,PHILIPPINES AIRASIA INC.,PHILIPPINES,COOL RED
APH,"ALPHA AVIATION, INC. (DALLAS, TX)",UNITED STATES,AIRFLIGHT
API,"ASA PESADA, LDA.",ANGOLA,ASA PESADA
APJ,PEACH AVIATION LIMITED,JAPAN,AIR PEACH
APK,AIR PEACE LIMITED,NIGERIA,PEACE BIRD
APL,"CORPORATIVO AEREO PRINCIPAL, S.A. DE C.V.",MEXICO,AEREO PRINCIPAL
APM,AEROPOLE OY,FINLAND,RED FINN
APN,ALPINE AIRLINES,FRANCE,AIR ALPES
APO,AIR POSH,SERBIA,AIR POSH
APR,"AEROLINEAS PRIMORDIALES, S A DE C.V.",MEXICO,PRIMORDIALES
APS,"AEROPARADISE, S.A. DE C.V.",MEXICO,AEROPARADISE
APU,TRANSPORTE AEREO EXPRESO MOCHE S.A.C.,PERU,APUKA
APV,AIR PHILIP,REPUBLIC OF KOREA,PHILIP AIR
APX,NALJETS LTD,UNITED KINGDOM,APEX
APY,"AEROPAPA, S.L.",SPAIN,
APZ,AIR PREMIA,REPUBLIC OF KOREA,AIR PREMIA
AQA,AEROATLAS S.A.,COLOMBIA,ATCO
AQQ,APSARA INTERNATIONAL AIR,CAMBODIA,APSARA
AQS,AIRSTREAM,CZECHIA,AIRSTREAM
AQU,AIRQUARIUS AVIATION,SOUTH AFRICA,QUARIUS
ARA,ARIK AIR LTD,NIGERIA,ARIK AIR
ARB,AIRBAHN,UNITED STATES,AIRBAHN
ARC,AIR ROUTING INTERNATIONAL LP,UNITED STATES,
ARD,"AEROANDINAS, C.A.",VENEZUELA,CORDILLERAS
ARE,AIRES S.A. (AEROVIAS DE INTEGRACION REGIONAL S.A.) D/B/A LAN COLOMBIA AIRLINES S.A. D/B/A LAN COLOMBIA AIRLINES,COLOMBIA,LAN COLOMBIA
ARF,ANIMAL RESCUE FLIGHTS,UNITED STATES,ANIMAL FLIGHTS
ARG,AEROLINEAS ARGENTINAS,ARGENTINA,ARGENTINA
ARH,"AEROHELICOPTEROS, C.A.",VENEZUELA,AEROHELCA
ARI,"AERO VICS, S.A. DE C.V.",MEXICO,AEROVICS
ARK,AERO LINK AIR SERVICES S.L.,SPAIN,LINK SERVICE
ARL,AIRLEC AIR ESPACE,FRANCE,AIRLEC
ARM,MEGAVIATION,REPUBLIC OF MOLDOVA,SUNSKY
ARN,AERONEXUS CORPORATE PTY LTD,SOUTH AFRICA,AERONEX
ARO,"ACERO TAXI, S.A. DE C.V.",MEXICO,ACERO
ARP,AERO CORPORATE,COTE D IVOIRE,IVORYCORP
ARQ,AIRCO AIRCRAFT CHARTERS LTD,CANADA,AIRCO
ARR,AIR ARMENIA,ARMENIA,AIR ARMENIA
ARS,AEROMET SERVICIOS LTDA.,CHILE,METSERVICE
ART,SMART LYNX AIRLINES LTD,LATVIA,SMART LYNX
ARU,ARUBA AIRLINES,NETHERLANDS,ARUBA
ARV,ARAVCO LTD.,UNITED KINGDOM,ARAVCO
ARW,AIRWAYS INTERNATIONAL LIMITED,JAMAICA,JAMAICA SHUTTLE
ARX,"AIR XPRESS, INC, (GREENSBORO, NC)",UNITED STATES,AIREX
ARY,ATC CJSC,ARMENIA,YERAZ
ARZ,AIRBORNE IMAGING,UNITED STATES,AIRBORNE
ASA,ALASKA AIRLINES INC.,UNITED STATES,ALASKA
ASB,AIR-SPRAY 1967 LTD.,CANADA,AIR SPRAY
ASC,AIR SERVICE MANAGEMENT,SPAIN,
ASD,AIR SPHINX,EGYPT,AIR SPHINX
ASE,"SERVICIOS DE AVIACION ASERTEC, S.A. DE C.V.",MEXICO,ASERTEC
ASF,AUSTRIAN AIR FORCE,AUSTRIA,AUSTRIAN AIRFORCE
ASG,AIR SPEED CHARTER (PVT) LTD,PAKISTAN,
ASH,"MESA AVIATION SERVICES, INC. (FARMINGTON, NM)",UNITED STATES,AIR SHUTTLE
